simulations,probability_estimate,variance,error
384000,2.374618E-07,5.678891E-10,3.845618E-08
385000,2.367911E-07,5.664148E-10,3.835632E-08
386000,2.362430E-07,5.649549E-10,3.825720E-08
387000,2.358551E-07,5.635058E-10,3.815871E-08
388000,2.353892E-07,5.620604E-10,3.806060E-08
389000,2.351537E-07,5.606444E-10,3.796374E-08
390000,2.363934E-07,5.600386E-10,3.789454E-08
391000,2.361755E-07,5.586777E-10,3.780004E-08
392000,2.354934E-07,5.572527E-10,3.770362E-08
393000,2.359596E-07,5.561894E-10,3.761968E-08
394000,2.353008E-07,5.547783E-10,3.752421E-08
395000,2.355761E-07,5.537372E-10,3.744150E-08
396000,2.361083E-07,5.529234E-10,3.736671E-08
397000,2.357501E-07,5.515550E-10,3.727341E-08
398000,2.351178E-07,5.501700E-10,3.717979E-08
399000,2.344990E-07,5.487921E-10,3.708664E-08
400000,2.338253E-07,5.474203E-10,3.699393E-08
401000,2.333605E-07,5.460655E-10,3.690203E-08
402000,2.327613E-07,5.447092E-10,3.681030E-08
403000,2.321259E-07,5.433579E-10,3.671897E-08
404000,2.315294E-07,5.420148E-10,3.662814E-08
405000,2.309154E-07,5.406774E-10,3.653773E-08
406000,2.303762E-07,5.393477E-10,3.644781E-08
407000,2.297242E-07,5.380227E-10,3.635826E-08
408000,2.290817E-07,5.367042E-10,3.626915E-08
409000,2.305083E-07,5.370159E-10,3.623530E-08
410000,2.299119E-07,5.357070E-10,3.614695E-08
411000,2.292674E-07,5.344037E-10,3.605901E-08
412000,2.290311E-07,5.331367E-10,3.597250E-08
413000,2.287250E-07,5.318689E-10,3.588618E-08
414000,2.284264E-07,5.305944E-10,3.579985E-08
415000,2.281106E-07,5.293339E-10,3.571419E-08
416000,2.290089E-07,5.289859E-10,3.565951E-08
417000,2.283787E-07,5.277176E-10,3.557400E-08
418000,2.280060E-07,5.264670E-10,3.548930E-08
419000,2.273783E-07,5.252107E-10,3.540461E-08
420000,2.303168E-07,5.283915E-10,3.546935E-08
421000,2.297225E-07,5.271368E-10,3.538512E-08
422000,2.291309E-07,5.258884E-10,3.530129E-08
423000,2.285925E-07,5.246465E-10,3.521788E-08
424000,2.280423E-07,5.234114E-10,3.513489E-08
425000,2.280202E-07,5.222769E-10,3.505548E-08
426000,2.283311E-07,5.211856E-10,3.497771E-08
427000,2.277144E-07,5.199652E-10,3.489580E-08
428000,2.275790E-07,5.188361E-10,3.481715E-08
429000,2.272341E-07,5.176574E-10,3.473702E-08
430000,2.268496E-07,5.164740E-10,3.465692E-08
431000,2.263329E-07,5.152770E-10,3.457656E-08
432000,2.259076E-07,5.140913E-10,3.449675E-08
433000,2.253698E-07,5.129059E-10,3.441715E-08
434000,2.249390E-07,5.117290E-10,3.433801E-08
435000,2.244347E-07,5.105560E-10,3.425919E-08
436000,2.238940E-07,5.093860E-10,3.418065E-08
437000,2.235514E-07,5.082304E-10,3.410277E-08
438000,2.259198E-07,5.102127E-10,3.413018E-08
439000,2.255966E-07,5.090699E-10,3.405309E-08
440000,2.252974E-07,5.079396E-10,3.397658E-08
441000,2.248315E-07,5.067925E-10,3.389969E-08
442000,2.308045E-07,5.242004E-10,3.443797E-08
443000,2.302045E-07,5.230173E-10,3.436024E-08
444000,2.298317E-07,5.218542E-10,3.428334E-08
445000,2.297361E-07,5.207115E-10,3.420728E-08
446000,2.293383E-07,5.195552E-10,3.413095E-08
447000,2.289448E-07,5.184104E-10,3.405517E-08
448000,2.287305E-07,5.173100E-10,3.398102E-08
449000,2.290024E-07,5.162974E-10,3.390992E-08
450000,2.284302E-07,5.151503E-10,3.383458E-08
451000,2.287079E-07,5.143211E-10,3.376983E-08
452000,2.282259E-07,5.131879E-10,3.369527E-08
453000,2.291295E-07,5.128841E-10,3.364810E-08
454000,2.286267E-07,5.117563E-10,3.357405E-08
455000,2.280508E-07,5.106318E-10,3.350026E-08
456000,2.275011E-07,5.095124E-10,3.342681E-08
457000,2.286454E-07,5.090764E-10,3.337593E-08
458000,2.284588E-07,5.080342E-10,3.330533E-08
459000,2.278848E-07,5.069275E-10,3.323277E-08
460000,2.274476E-07,5.058297E-10,3.316067E-08
461000,2.272707E-07,5.047677E-10,3.308989E-08
462000,2.269498E-07,5.036907E-10,3.301878E-08
463000,2.264357E-07,5.026041E-10,3.294751E-08
464000,2.260612E-07,5.015256E-10,3.287665E-08
465000,2.281377E-07,5.026554E-10,3.287825E-08
466000,2.300660E-07,5.029882E-10,3.285382E-08
467000,2.297323E-07,5.019242E-10,3.278390E-08
468000,2.298600E-07,5.010652E-10,3.272082E-08
469000,2.422372E-07,5.760878E-10,3.504757E-08
470000,2.421246E-07,5.749334E-10,3.497517E-08
471000,2.417761E-07,5.737333E-10,3.490154E-08
472000,2.426931E-07,5.735839E-10,3.486001E-08
473000,2.426093E-07,5.724164E-10,3.478768E-08
474000,2.426248E-07,5.713650E-10,3.471903E-08
475000,2.421427E-07,5.701650E-10,3.464603E-08
476000,2.417143E-07,5.689743E-10,3.457346E-08
477000,2.411342E-07,5.677816E-10,3.450098E-08
478000,2.408494E-07,5.666202E-10,3.442961E-08
479000,2.402736E-07,5.654375E-10,3.435774E-08
480000,2.406414E-07,5.644242E-10,3.429116E-08
481000,2.401145E-07,5.632515E-10,3.421989E-08
482000,2.396508E-07,5.620877E-10,3.414904E-08
483000,2.391592E-07,5.609257E-10,3.407839E-08
484000,2.386720E-07,5.597693E-10,3.400806E-08
485000,2.383723E-07,5.586307E-10,3.393841E-08
486000,2.378181E-07,5.574815E-10,3.386859E-08
487000,2.374306E-07,5.563445E-10,3.379928E-08
488000,2.369768E-07,5.552081E-10,3.373013E-08
489000,2.372885E-07,5.542723E-10,3.366721E-08
490000,2.369531E-07,5.531566E-10,3.359897E-08
491000,2.365520E-07,5.520415E-10,3.353089E-08
492000,2.411533E-07,5.634756E-10,3.384192E-08
493000,2.416726E-07,5.628366E-10,3.378841E-08
494000,2.412357E-07,5.617004E-10,3.372010E-08
495000,2.410310E-07,5.606108E-10,3.365334E-08
496000,2.407152E-07,5.594993E-10,3.358605E-08
497000,2.408795E-07,5.584657E-10,3.352124E-08
498000,2.406645E-07,5.573631E-10,3.345449E-08
499000,2.404118E-07,5.562663E-10,3.338805E-08
500000,2.401004E-07,5.551754E-10,3.332193E-08
501000,2.397529E-07,5.540826E-10,3.325588E-08
502000,2.414744E-07,5.554338E-10,3.326322E-08
503000,2.414072E-07,5.544074E-10,3.319942E-08
504000,2.409670E-07,5.533097E-10,3.313362E-08
505000,2.409252E-07,5.523104E-10,3.307089E-08
506000,2.404068E-07,5.512194E-10,3.300555E-08
507000,2.399510E-07,5.501362E-10,3.294057E-08
508000,2.394822E-07,5.490548E-10,3.287577E-08
509000,2.403136E-07,5.484644E-10,3.282580E-08
510000,2.402521E-07,5.474317E-10,3.276272E-08
511000,2.397135E-07,5.463606E-10,3.269860E-08
512000,2.392338E-07,5.452952E-10,3.263479E-08
513000,2.387055E-07,5.442324E-10,3.257118E-08
514000,2.385502E-07,5.431868E-10,3.250821E-08
